2015-08-25 23:42:33,366 (INFO)	: Initializing spherical_k
2015-08-25 23:42:33,718 (INFO)	: Number of observations
2015-08-25 23:42:33,793 (INFO)	: Building dictionary and encoding vectors
2015-08-25 23:42:34,031 (INFO)	: Building D shared
2015-08-25 23:42:34,031 (INFO)	: D.shape[0].eval()
2015-08-25 23:42:34,031 (INFO)	: D.shape[1].eval()
2015-08-25 23:42:34,031 (INFO)	: D
2015-08-25 23:42:34,031 (INFO)	: Normalizing D to create D_t2
2015-08-25 23:42:34,031 (INFO)	: Normalizing Matrix
2015-08-25 23:42:34,031 (INFO)	: L2 Norm
2015-08-25 23:42:34,051 (INFO)	: Getting normalized D_t2
2015-08-25 23:42:34,062 (INFO)	: Normalized D_t2 done
2015-08-25 23:42:34,062 (INFO)	: Creating S_t3 shared memory with zeroed out arrays.
2015-08-25 23:42:34,062 (INFO)	: Iterating through dictionary
2015-08-25 23:42:34,062 (INFO)	: ##### S Means Iteration 0 ######
2015-08-25 23:42:34,897 (INFO)	: ##### Number for filter 0 #######
2015-08-25 23:42:34,897 (INFO)	: 71
2015-08-25 23:42:34,930 (INFO)	: ##### Number for filter 1 #######
2015-08-25 23:42:34,930 (INFO)	: 45
2015-08-25 23:42:34,959 (INFO)	: ##### Number for filter 2 #######
2015-08-25 23:42:34,959 (INFO)	: 27
2015-08-25 23:42:34,986 (INFO)	: ##### Number for filter 3 #######
2015-08-25 23:42:34,986 (INFO)	: 0
2015-08-25 23:42:35,003 (INFO)	: ##### Number for filter 4 #######
2015-08-25 23:42:35,003 (INFO)	: 48
2015-08-25 23:42:35,034 (INFO)	: ##### Number for filter 5 #######
2015-08-25 23:42:35,035 (INFO)	: 63
2015-08-25 23:42:35,063 (INFO)	: ##### Number for filter 6 #######
2015-08-25 23:42:35,063 (INFO)	: 51
2015-08-25 23:42:35,093 (INFO)	: ##### Number for filter 7 #######
2015-08-25 23:42:35,093 (INFO)	: 58
2015-08-25 23:42:35,119 (INFO)	: ##### Number for filter 8 #######
2015-08-25 23:42:35,119 (INFO)	: 0
2015-08-25 23:42:35,136 (INFO)	: ##### Number for filter 9 #######
2015-08-25 23:42:35,136 (INFO)	: 2
2015-08-25 23:42:35,162 (INFO)	: ##### Number for filter 10 #######
2015-08-25 23:42:35,162 (INFO)	: 71
2015-08-25 23:42:35,197 (INFO)	: ##### Number for filter 11 #######
2015-08-25 23:42:35,197 (INFO)	: 1
2015-08-25 23:42:35,224 (INFO)	: ##### Number for filter 12 #######
2015-08-25 23:42:35,224 (INFO)	: 0
2015-08-25 23:42:35,240 (INFO)	: ##### Number for filter 13 #######
2015-08-25 23:42:35,241 (INFO)	: 15
2015-08-25 23:42:35,266 (INFO)	: ##### Number for filter 14 #######
2015-08-25 23:42:35,266 (INFO)	: 90
2015-08-25 23:42:35,297 (INFO)	: ##### Number for filter 15 #######
2015-08-25 23:42:35,297 (INFO)	: 3
2015-08-25 23:42:35,323 (INFO)	: ##### Number for filter 16 #######
2015-08-25 23:42:35,323 (INFO)	: 20
2015-08-25 23:42:35,350 (INFO)	: ##### Number for filter 17 #######
2015-08-25 23:42:35,350 (INFO)	: 67
2015-08-25 23:42:35,376 (INFO)	: ##### Number for filter 18 #######
2015-08-25 23:42:35,376 (INFO)	: 31
2015-08-25 23:42:35,409 (INFO)	: ##### Number for filter 19 #######
2015-08-25 23:42:35,409 (INFO)	: 44
2015-08-25 23:42:35,438 (INFO)	: ##### Number for filter 20 #######
2015-08-25 23:42:35,438 (INFO)	: 12
2015-08-25 23:42:35,466 (INFO)	: ##### Number for filter 21 #######
2015-08-25 23:42:35,466 (INFO)	: 37
2015-08-25 23:42:35,493 (INFO)	: ##### Number for filter 22 #######
2015-08-25 23:42:35,493 (INFO)	: 16
2015-08-25 23:42:35,523 (INFO)	: ##### Number for filter 23 #######
2015-08-25 23:42:35,523 (INFO)	: 35
2015-08-25 23:42:35,550 (INFO)	: ##### Number for filter 24 #######
2015-08-25 23:42:35,550 (INFO)	: 52
2015-08-25 23:42:35,579 (INFO)	: ##### Number for filter 25 #######
2015-08-25 23:42:35,579 (INFO)	: 76
2015-08-25 23:42:35,606 (INFO)	: ##### Number for filter 26 #######
2015-08-25 23:42:35,606 (INFO)	: 116
2015-08-25 23:42:35,634 (INFO)	: ##### Number for filter 27 #######
2015-08-25 23:42:35,634 (INFO)	: 26
2015-08-25 23:42:35,662 (INFO)	: ##### Number for filter 28 #######
2015-08-25 23:42:35,663 (INFO)	: 36
2015-08-25 23:42:35,691 (INFO)	: ##### Number for filter 29 #######
2015-08-25 23:42:35,691 (INFO)	: 32
2015-08-25 23:42:35,718 (INFO)	: ##### Number for filter 30 #######
2015-08-25 23:42:35,718 (INFO)	: 5
2015-08-25 23:42:35,746 (INFO)	: ##### Number for filter 31 #######
2015-08-25 23:42:35,747 (INFO)	: 18
2015-08-25 23:42:35,904 (INFO)	: ##### Number for filter 32 #######
2015-08-25 23:42:35,904 (INFO)	: 8
2015-08-25 23:42:35,930 (INFO)	: ##### Number for filter 33 #######
2015-08-25 23:42:35,931 (INFO)	: 21
2015-08-25 23:42:35,959 (INFO)	: ##### Number for filter 34 #######
2015-08-25 23:42:35,959 (INFO)	: 6
2015-08-25 23:42:35,986 (INFO)	: ##### Number for filter 35 #######
2015-08-25 23:42:35,986 (INFO)	: 42
2015-08-25 23:42:36,016 (INFO)	: ##### Number for filter 36 #######
2015-08-25 23:42:36,016 (INFO)	: 103
2015-08-25 23:42:36,043 (INFO)	: ##### Number for filter 37 #######
2015-08-25 23:42:36,043 (INFO)	: 69
2015-08-25 23:42:36,070 (INFO)	: ##### Number for filter 38 #######
2015-08-25 23:42:36,070 (INFO)	: 22
2015-08-25 23:42:36,097 (INFO)	: ##### Number for filter 39 #######
2015-08-25 23:42:36,097 (INFO)	: 35
2015-08-25 23:42:36,131 (INFO)	: ##### Number for filter 40 #######
2015-08-25 23:42:36,131 (INFO)	: 2
2015-08-25 23:42:36,158 (INFO)	: ##### Number for filter 41 #######
2015-08-25 23:42:36,159 (INFO)	: 116
2015-08-25 23:42:36,187 (INFO)	: ##### Number for filter 42 #######
2015-08-25 23:42:36,187 (INFO)	: 12
2015-08-25 23:42:36,215 (INFO)	: ##### Number for filter 43 #######
2015-08-25 23:42:36,215 (INFO)	: 65
2015-08-25 23:42:36,246 (INFO)	: ##### Number for filter 44 #######
2015-08-25 23:42:36,246 (INFO)	: 50
2015-08-25 23:42:36,274 (INFO)	: ##### Number for filter 45 #######
2015-08-25 23:42:36,274 (INFO)	: 48
2015-08-25 23:42:36,302 (INFO)	: ##### Number for filter 46 #######
2015-08-25 23:42:36,302 (INFO)	: 81
2015-08-25 23:42:36,329 (INFO)	: ##### Number for filter 47 #######
2015-08-25 23:42:36,329 (INFO)	: 76
2015-08-25 23:42:36,359 (INFO)	: ##### Number for filter 48 #######
2015-08-25 23:42:36,359 (INFO)	: 61
2015-08-25 23:42:36,387 (INFO)	: ##### Number for filter 49 #######
2015-08-25 23:42:36,387 (INFO)	: 0
2015-08-25 23:42:36,404 (INFO)	: ##### Number for filter 50 #######
2015-08-25 23:42:36,404 (INFO)	: 38
2015-08-25 23:42:36,431 (INFO)	: ##### Number for filter 51 #######
2015-08-25 23:42:36,431 (INFO)	: 50
2015-08-25 23:42:36,460 (INFO)	: ##### Number for filter 52 #######
2015-08-25 23:42:36,460 (INFO)	: 0
2015-08-25 23:42:36,476 (INFO)	: ##### Number for filter 53 #######
2015-08-25 23:42:36,476 (INFO)	: 5
